"ID","Bar","Description","Neighborhood","Address","Phone","Website","hoursMonday","hoursTuesday","hoursWednesday","hoursThursday","hoursFriday","hoursSaturday","hoursSunday","specialMonday","specialTuesday","specialWednesday","specialThursday","specialFriday","specialSaturday","specialSunday","Note","lat","long"
11,"Revolution Rotisserie & Bar","American dishes centered around rotisserie chicken & cocktails are the draw at this modern outpost.","Over-the-Rhine","1106 Race St, Cincinnati, OH 45202","(513) 381-0009","http://revolutionrotisserie.com/","11AM–9PM","11AM–9PM","11AM–9PM","11AM–9PM","11AM–10PM","11AM–10PM","10AM–9PM","Six Dollar Mules, Happy Hour 3-6PM","Six Dollar Sangrias, Happy Hour 3-6PM","Four Dollar Drafts, Happy Hour 3-6PM","Six Dollar Wines by the Glass, Happy Hour 3-6PM","Three Dollar Craft Beer Cans, Happy Hour 3-6PM","Four Dollar Infusion Shots","Bottomless Mimosas & Brunch Cocktails","Happy Hour:, Four Dollar Drafts, Six Dollar Wines By the Glass, Six Dollar Mules/Sangrias, Complimentary Bottomless Tater Tots during Happy Hour with purchase of alcoholic beverage. ",39.1073976,-84.5159119
12,"Low Spark",,"Over-the-Rhine","15 W 14th St, Cincinnati, OH 45202","(513) 371-5722","http://www.lowsparkbar.com/","4PM–2:30AM","4PM–2:30AM","4PM–2:30AM","4PM–2:30AM","4PM–2:30AM","12PM–2:30AM","Closed","SHOT & BEER SPECIAL, MON – THU | 8pm – Close, $5 Shot & Beer Pairing, HAPPY HOUR, MON – FRI | 4pm – 7pm, $2 off signature cocktails, $2 off select drafts, $2 off calls, $1 off domestic beers, $1 off wine, EVERY DAY, $3 Budweiser drafts all day, every day","SHOT & BEER SPECIAL, MON – THU | 8pm – Close, $5 Shot & Beer Pairing, HAPPY HOUR, MON – FRI | 4pm – 7pm, $2 off signature cocktails, $2 off select drafts, $2 off calls, $1 off domestic beers, $1 off wine, EVERY DAY, $3 Budweiser drafts all day, every day","SHOT & BEER SPECIAL, MON – THU | 8pm – Close, $5 Shot & Beer Pairing, HAPPY HOUR, MON – FRI | 4pm – 7pm, $2 off signature cocktails, $2 off select drafts, $2 off calls, $1 off domestic beers, $1 off wine, EVERY DAY, $3 Budweiser drafts all day, every day","SHOT & BEER SPECIAL, MON – THU | 8pm – Close, $5 Shot & Beer Pairing, HAPPY HOUR, MON – FRI | 4pm – 7pm, $2 off signature cocktails, $2 off select drafts, $2 off calls, $1 off domestic beers, $1 off wine, EVERY DAY, $3 Budweiser drafts all day, every day","HAPPY HOUR, MON – FRI | 4pm – 7pm, $2 off signature cocktails, $2 off select drafts, $2 off calls, $1 off domestic beers, $1 off wine, EVERY DAY, $3 Budweiser drafts all day, every day","EVERY DAY, $3 Budweiser drafts all day, every day","EVERY DAY, $3 Budweiser drafts all day, every day","MUSIC HALL SPECIALS, Show your Cincinnati Music Hall tickets or program to receive $1 off drafts, $1 off domestics, and $1 off Tito’s vodka",39.1103807,-84.5163092
13,"Longfellow",,"Over-the-Rhine","1233 Clay St, Cincinnati, OH 45202","(513) 549-0744","https://longfellowbar.com/","Closed","4PM–2AM","4PM–2AM","4PM–2AM","4PM–2AM","2PM–2AM","2PM–12AM",,"Happy Hour Blue Plate Special $7, 16 oz tall boy beer, scrap sandwich OR liverwurst W/potato chips 4-7PM, Late Night Pierogies One $2 - Three $5 - Five $8 , 11PM-2AM","Happy Hour Blue Plate Special $7, 16 oz tall boy beer, scrap sandwich OR liverwurst W/potato chips 4-7PM, Late Night Pierogies One $2 - Three $5 - Five $8 , 11PM-2AM, Hot Plate Curry & Rice $8","Happy Hour Blue Plate Special $7, 16 oz tall boy beer, scrap sandwich OR liverwurst W/potato chips 4-7PM, Late Night Pierogies One $2 - Three $5 - Five $8 , 11PM-2AM, Hot Plate Curry & Rice $8","Happy Hour Blue Plate Special $7, 16 oz tall boy beer, scrap sandwich OR liverwurst W/potato chips 4-7PM, Late Night Pierogies One $2 - Three $5 - Five $8 , 11PM-2AM","Late Night Pierogies One $2 - Three $5 - Five $8 , 11PM-2AM","Late Night Pierogies One $2 - Three $5 - Five $8 , All Day",,39.1096956,-84.5127973
14,"Queen City Radio","Spacious bar in a buzzy, industrial indoor/outdoor space offering food-truck eats, DJs & live music.","Over-the-Rhine","222 W 12th St, Cincinnati, OH 45202","(513) 381-0918","http://qcrbar.com/","4PM–2:30AM","4PM–2:30AM","4PM–2:30AM","4PM–2:30AM","4PM–2:30AM","12PM–2:30AM","12PM–2:30AM",,,,,,,,,39.1078318,-84.519097
15,"HalfCut","Rotating taps of craft brews are the focus of this rustic bar that also sells growlers & wine.","Over-the-Rhine","1126 Walnut St, Cincinnati, OH 45202","(513) 381-1952","http://www.halfcut.com/","Closed","4–10PM","4–10PM","11AM–12AM","11AM–2:30AM","11AM–2:30AM","Closed",,,,,,,,,39.1083636153846,-84.5130170769231
16,"Krueger's Tavern","Stylish, seasonal New American kitchen with a menu of small & large plates & a rooftop patio.","Over-the-Rhine","1211 Vine St, Cincinnati, OH 45202","(513) 834-8670","http://www.kruegerstavern.com/","11AM–12AM","11AM–12AM","11AM–12AM","11AM–12AM","11AM–12AM","11AM–12AM","11AM–10PM",,,,,,,,,39.10859605,-84.5152225113226
17,"Treehouse Patio Bar",,"Over-the-Rhine","1133 Sycamore St, Cincinnati, OH 45202",,"http://treehousepatiobar.berlindoener.info/","Closed","4PM–2AM","4PM–2AM","4PM–2AM","4PM–2AM","2PM–2AM","2PM–2AM",,,,,,,,,39.1092069,-84.5104021
18,"Zula Restaurant & Wine Bar","New American dishes, wine, craft beer & cocktails offered in a warm, industrial-style atmosphere","Over-the-Rhine","7010, 1400 Race St, Cincinnati, OH 45202","(513) 744-9852","http://www.zulabistro.com/","Closed","5PM–12AM","5PM–12AM","5PM–12AM","4PM–1AM","4PM–1AM","Closed",,,,,,,,,39.11047,-84.516829
19,"Anchor OTR","Charming seafood eatery with a patio for seasonal outdoor dining & a bar with signature cocktails.","Over-the-Rhine","1401 Race St, Cincinnati, OH 45202","(513) 421-8111","http://www.theanchor-otr.com/","Closed","5–10PM","5–10PM","5–10PM","11:30AM–2:30PM,4:30–11PM","11:30AM–2:30PM,4:30–11PM","Closed","HAPPY HOUR, weeknights from 5 – 7 p.m., $1.50 OYSTERS – SHUCKER’S CHOICE, $1 OFF ALL BEERS + $7 RED, WHITE AND ROSÉ WINESHAPPY HOUR, weeknights from 5 – 7 p.m., $1.50 OYSTERS – SHUCKER’S CHOICE, $1 OFF ALL BEERS + $7 RED, WHITE AND ROSÉ WINES","HAPPY HOUR, weeknights from 5 – 7 p.m., $1.50 OYSTERS – SHUCKER’S CHOICE, $1 OFF ALL BEERS + $7 RED, WHITE AND ROSÉ WINESHAPPY HOUR","HAPPY HOUR, weeknights from 5 – 7 p.m., $1.50 OYSTERS – SHUCKER’S CHOICE, $1 OFF ALL BEERS + $7 RED, WHITE AND ROSÉ WINESHAPPY HOUR, weeknights from 5 – 7 p.m., $1.50 OYSTERS – SHUCKER’S CHOICE, $1 OFF ALL BEERS + $7 RED, WHITE AND ROSÉ WINES","HAPPY HOUR, weeknights from 5 – 7 p.m., $1.50 OYSTERS – SHUCKER’S CHOICE, $1 OFF ALL BEERS + $7 RED, WHITE AND ROSÉ WINESHAPPY HOUR, weeknights from 5 – 7 p.m., $1.50 OYSTERS – SHUCKER’S CHOICE, $1 OFF ALL BEERS + $7 RED, WHITE AND ROSÉ WINES","HAPPY HOUR, weeknights from 5 – 7 p.m., $1.50 OYSTERS – SHUCKER’S CHOICE, $1 OFF ALL BEERS + $7 RED, WHITE AND ROSÉ WINES, Fish Fry Fridays!! 4:30 -9:00, 2 for 1 Draft Beer, $2 Oysters Raw or Oven Roasted, $6  Rum Daiquiris, $12 baskets of Fish & ChiosHAPPY HOUR, weeknights from 5 – 7 p.m., $1.50 OYSTERS – SHUCKER’S CHOICE, $1 OFF ALL BEERS + $7 RED, WHITE AND ROSÉ WINES, Fish Fry Fridays!! 4:30 -9:00, 2 for 1 Draft Beer, $2 Oysters Raw or Oven Roasted, $6  Rum Daiquiris, $12 baskets of Fish & Chios",,,,39.1104288,-84.5171923
20,"A Tavola Bar + Trattoria","Neapolitan pies are wood-fired & served with antipasti & craft cocktails in an industrial-chic room.","Over-the-Rhine","1220 Vine St, Cincinnati, OH 45202","(513) 246-0192","http://www.atavolapizza.com/","11AM–10PM","11AM–10PM","11AM–10PM","11AM–10PM","11AM–12AM","11AM–12AM","12–10PM",,,,,,,,,39.1090279,-84.5148005
21,"Nation Kitchen and Bar","Rustic-chic place with a large beer menu, craft cocktails, gourmet burgers & creative potato sides.","Over-the-Rhine","1200 Broadway St, Cincinnati, OH 45202","(513) 381-3794","http://nationkitchenandbar.com/","11AM–12AM","11AM–12AM","11AM–12AM","11AM–12AM","11AM–2AM","10AM–2AM","10AM–12AM",,,,,,,,,39.1097757,-84.508276
22,"The Drinkery","Unpretentious, brick-lined bar & club featuring a patio, local bands, DJs & craft beers.","Over-the-Rhine","1150 Main St, Cincinnati, OH 45202","(513) 509-2574","http://www.drinkotr.com/","4PM–2AM","4PM–2AM","4PM–2AM","4PM–2AM","4PM–2AM","12PM–2AM","12PM–2AM",,,,,,,,,39.1091052,-84.5114524
23,"Senate","Trendy pub serving gourmet hot dogs with creative toppings, plus local brews & retro cocktails.","Over-the-Rhine","1212 Vine St, Cincinnati, OH 45202","(513) 421-2020","http://www.senatepub.com/","Closed","11:30AM–10PM","11:30AM–10PM","11:30AM–10PM","11:30AM–11PM","11:30AM–11PM","Closed",,,,,,,,,39.1087911,-84.5147421
24,"Mr Pitiful's","Cozy neighborhood bar with diverse entertainment, including sports on TV, live music & DJs.","Over-the-Rhine","1323 Main St, Cincinnati, OH 45202","(513) 369-0202","http://mrpitifulsotr.com/","6PM–12AM","5PM–12AM","5PM–1AM","5PM–2AM","4PM–2AM","5PM–12AM","12–8PM",,,,,,,,,39.110617,-84.512122
25,"Vestry at the Transept",,"Over-the-Rhine","1205 Elm St, Cincinnati, OH 45202","(513) 841-9999","http://vestryotr.com/","Closed","Closed","4PM–12AM","4PM–12AM","4PM–2AM","4PM–2AM","Closed","HAPPY HOUR 4P-8P, $4 CALLS, $3 DOMESTICS, $2 OFF DRAFTS, $5 GLASSES OF SPANISH WINE, Monday: “Manhattan Mondays”, $5 Bulleit Manhattans","HAPPY HOUR 4P-8P, $4 CALLS, $3 DOMESTICS, $2 OFF DRAFTS, $5 GLASSES OF SPANISH WINE","HAPPY HOUR 4P-8P, $4 CALLS, $3 DOMESTICS, $2 OFF DRAFTS, $5 GLASSES OF SPANISH WINE, Wednesday: “Wine Down Wednesdays”, $15 Polus & Maques De Reinosa BottlesHAPPY HOUR 4P-8P, $4 CALLS, $3 DOMESTICS, $2 OFF DRAFTS, $5 GLASSES OF SPANISH WINE, Wednesday: “Wine Down Wednesdays”, $15 Polus & Maques De Reinosa Bottles","HAPPY HOUR 4P-8P, $4 CALLS, $3 DOMESTICS, $2 OFF DRAFTS, $5 GLASSES OF SPANISH WINE, Thursday: “Thirsty Thursdays”, $4 Craft Cans, $4 Jameson*HAPPY HOUR 4P-8P, $4 CALLS, $3 DOMESTICS, $2 OFF DRAFTS, $5 GLASSES OF SPANISH WINE, Thursday: “Thirsty Thursdays”, $4 Craft Cans, $4 Jameson*","HAPPY HOUR 4P-8P, $4 CALLS, $3 DOMESTICS, $2 OFF DRAFTS, $5 GLASSES OF SPANISH WINEHAPPY HOUR 4P-8P, $4 CALLS, $3 DOMESTICS, $2 OFF DRAFTS, $5 GLASSES OF SPANISH WINE","HAPPY HOUR 4P-8P, $4 CALLS, $3 DOMESTICS, $2 OFF DRAFTS, $5 GLASSES OF SPANISH WINEHAPPY HOUR 4P-8P, $4 CALLS, $3 DOMESTICS, $2 OFF DRAFTS, $5 GLASSES OF SPANISH WINE",,,39.1079009,-84.518178
26,"Wiseguy Lounge ",,"Over-the-Rhine","1211 Main St, Cincinnati, OH 45202","(513) 381-3625","http://www.goodfellaspizzeria.com/wiseguy-option-2/","11AM–1AM","11AM–1AM","11AM–1AM","11AM–2:30AM","11AM–2:30AM","11AM–2:30AM","11AM–1AM",,,,,,,,,39.1091302,-84.5118141
27,"Revel OTR Urban Winery","Cozy winery with live music, handcrafted wines & light snacks in rustic-chic digs with live music.","Over-the-Rhine","111 E 12th St, Cincinnati, OH 45202","(513) 579-9463","http://www.revelotr.com/","Closed","4PM–12AM","4PM–12AM","4PM–12AM","4PM–2AM","12PM–2AM","Closed",,,"Happy Hour 4-7 PM, $5 - Wine, Beer, Wine Cocktails, Olives and Cheese, Bread & OilHappy Hour 4-7 PM, $5 - Wine, Beer, Wine Cocktails, Olives and Cheese, Bread & Oil","Happy Hour 4-7 PM, $5 - Wine, Beer, Wine Cocktails, Olives and Cheese, Bread & OilHappy Hour 4-7 PM, $5 - Wine, Beer, Wine Cocktails, Olives and Cheese, Bread & Oil","Happy Hour 4-7 PM, $5 - Wine, Beer, Wine Cocktails, Olives and Cheese, Bread & OilHappy Hour 4-7 PM, $5 - Wine, Beer, Wine Cocktails, Olives and Cheese, Bread & Oil",,"Sangria Sunday 12-10PM, $7 Red & White Wine Sangrias, Traditional Mimosas, Draft Beers, $5 Limoncello Crema, $4 Limoncello ClassicSangria Sunday 12-10PM, $7 Red & White Wine Sangrias, Traditional Mimosas, Draft Beers, $5 Limoncello Crema, $4 Limoncello Classic",,39.1085275,-84.5126641
28,"Kaze","Gastropub serving sushi & creative Japanese fare in a stylish space, with a lounge & beer garden.","Over-the-Rhine","1400 Vine St, Cincinnati, OH 45202","(513) 898-7991","http://www.kazeotr.com/","Closed","4–10PM","4–10PM","4–10PM","4–11PM","12–11PM","12–9PM","HAPPY HOUR  DAILY - 4-7PM,    • Specialty cocktails are $5,    • Discounted select sushi rolls,    • Ramen is only $4.5HAPPY HOUR  DAILY - 4-7PM,    • Specialty cocktails are $5,    • Discounted select sushi rolls,    • Ramen is only $4.5","HAPPY HOUR  DAILY - 4-7PM, Specialty cocktails are $5, Discounted select sushi rolls, Ramen is only $4.50","HAPPY HOUR  DAILY - 4-7PM,    • Specialty cocktails are $5,    • Discounted select sushi rolls,    • Ramen is only $4.5HAPPY HOUR  DAILY - 4-7PM,    • Specialty cocktails are $5,    • Discounted select sushi rolls,    • Ramen is only $4.5","HAPPY HOUR  DAILY - 4-7PM,    • Specialty cocktails are $5,    • Discounted select sushi rolls,    • Ramen is only $4.5HAPPY HOUR  DAILY - 4-7PM,    • Specialty cocktails are $5,    • Discounted select sushi rolls,    • Ramen is only $4.5","HAPPY HOUR  DAILY - 4-7PM,    • Specialty cocktails are $5,    • Discounted select sushi rolls,    • Ramen is only $4.5HAPPY HOUR  DAILY - 4-7PM,    • Specialty cocktails are $5,    • Discounted select sushi rolls,    • Ramen is only $4.5","HAPPY HOUR  DAILY - 4-6PM,    • Specialty cocktails are $5,    • Discounted select sushi rolls,    • Ramen is only $4.5HAPPY HOUR  DAILY - 4-6PM,    • Specialty cocktails are $5,    • Discounted select sushi rolls,    • Ramen is only $4.5","HAPPY HOUR  DAILY - 4-6PM,    • Specialty cocktails are $5,    • Discounted select sushi rolls,    • Ramen is only $4.5HAPPY HOUR  DAILY - 4-6PM,    • Specialty cocktails are $5,    • Discounted select sushi rolls,    • Ramen is only $4.5",,39.1110442,-84.5152882
29,"Ché","Artisanal Argentine cuisine & empanadas, plus drinks, offered in a rustic, dimly lit dining room.","Over-the-Rhine","1342 Walnut St, Cincinnati, OH 45202","(513) 345-8838","http://www.checincinnati.com/","4PM–12AM","11AM–2:30AM","11AM–2:30AM","11AM–2:30AM","11AM–2:30AM","11AM–2:30AM","11AM–12AM","Malbec Mondays, Come enjoy any of our Malbecs by the glass for only $5 all day long.",", Service Industry Night, Our friends in the Service Industry enjoy 30% off drinks all night long!, $3 Jack Daniels, ","Whiskey Wednesday $3, Get over Hump Day by joining us for $3 shots of Jameson all evening long.Whiskey Wednesday $3, Get over Hump Day by joining us for $3 shots of Jameson all evening long.","Thirsty Thursday$4 Drafts, Beer aficionados unite! Thursday at Ché means it's time for $4 drafts on any of our 20 beers on tap!Thirsty Thursday$4 Drafts, Beer aficionados unite! Thursday at Ché means it's time for $4 drafts on any of our 20 beers on tap!","Fireball Friday, Ready to start your weekends with a bang? Pop by and joinus for $3 shots of Fireball 'till the wheels fall off!Fireball Friday, Ready to start your weekends with a bang? Pop by and joinus for $3 shots of Fireball 'till the wheels fall off!","Weekend Brunch,  Come check in OTR's best kept secret! 10 exclusive menu items,, , $4 Mimosas, and $5 Bloody Marys., When:, Saturdays and Sundays from  11am to 3pm.Weekend Brunch,  Come check in OTR's best kept secret! 10 exclusive menu items,, , $4 Mimosas, and $5 Bloody Marys., When:, Saturdays and Sundays from  11am to 3pm.","Weekend Brunch,  Come check in OTR's best kept secret! 10 exclusive menu items,, , $4 Mimosas, and $5 Bloody Marys., When:, Saturdays and Sundays from  11am to 3pm.Weekend Brunch,  Come check in OTR's best kept secret! 10 exclusive menu items,, , $4 Mimosas, and $5 Bloody Marys., When:, Saturdays and Sundays from  11am to 3pm.",,39.1108982,-84.5135673
30,"The Hub",,"Over-the-Rhine","1209 Main St, Cincinnati, OH 45202","(513) 746-6572","http://thehubotr.com/","4PM–2AM","2PM–2AM","2PM–2AM","2PM–2AM","2PM–2AM","2PM–2AM","4PM–2AM",,,,,,,,,39.1089554444444,-84.51171
31,"Four Entertainment Group",,"Over-the-Rhine","1404 Vine St, Cincinnati, OH 45202","(513) 721-0083","http://www.foureg.com/","10AM–6PM","10AM–6PM","10AM–6PM","10AM–6PM","10AM–6PM","Closed","Closed",,,,,,,,,39.1110911428571,-84.5153729591837
32,"The Mercer OTR","Varied European-influenced dishes are served in a stylish venue at this modern restaurant.","Over-the-Rhine","1324 Vine St, Cincinnati, OH 45202","(513) 421-5111","http://www.themercerotr.com/","Closed","5–10PM","5–10PM","5–10PM","5–11PM","5–11PM","4:30–8:30PM",,"Tuesday-Half Price Wine, Bottles of wine up through $74 are 50% off. Wines $75 and up, and wines in half bottles are 25% off.","Tuesday-Half Price Wine, Bottles of wine up through $74 are 50% off. Wines $75 and up, and wines in half bottles are 25% off.","Thursday Bar Burger Night, $10 Burger & Fries, $2 High Life cans, and $2 Coors drafts., **This promotion is only available in the bar, lounge, and patio**","Friday-Half Price Wine, Bottles of wine up through $74 are 50% off. Wines $75 and up, and wines in half bottles are 25% off.",,"Sunday Funday $5 All Night Happy Hour, All night in the bar, lounge, and patio you can enjoy $5 select, cocktails, wines by the glass, and beer specials.",,39.1101752,-84.5150813
33,"Pontiac BBQ","Rustic-chic spot with a vintage vibe offering eclectic BBQ & classic sides, plus creative cocktails.","Over-the-Rhine","1403 Vine St, Cincinnati, OH 45202","(513) 579-8500","http://www.pontiacbbq.com/","Closed","11AM–10PM","11AM–10PM","11AM–10PM","11AM–11PM","11AM–11PM","11AM–9PM",,,,,,,,,39.1107045,-84.5155743
34,"THE FUEL LOUNGE OTR",,"Over-the-Rhine","1424 Main St, Cincinnati, OH 45202","(513) 344-6274",,"Closed","Closed","Closed","9PM–1AM","9PM–1AM","9PM–1AM","Close",,,,,,,,,39.1120257,-84.5121277620096
35,"Please","Upscale New American kitchen with a rotating, inventive tasting menu, plus a few à la carte options.","Over-the-Rhine","1405 Clay St, Cincinnati, OH 45202","(513) 405-8859","http://www.pleasecincinnati.com/","Closed","5:30–10PM","5:30PM–12AM","5:30PM–12AM","5:30PM–12AM","5:30PM–12AM","Closed",,,"Happy Hour runs Wednesday through Friday 5:30-7:30 with cocktail, wine glass & bottle specials.","Happy Hour runs Wednesday through Friday 5:30-7:30 with cocktail, wine glass & bottle specials.","Happy Hour runs Wednesday through Friday 5:30-7:30 with cocktail, wine glass & bottle specials.",,,,39.1113753,-84.5131298
36,"The Pony",,"Over-the-Rhine","1346 Main St, Cincinnati, OH 45202","(513) 954-8415",,"4PM–2AM","4PM–2AM","4PM–2AM","4PM–2AM","4PM–2AM","12PM–2AM","12PM–2AM",,,,,,,,,39.1111356,-84.5119275
37,"The Righteous Room","Arty nightspot offering beer, wine & cocktails, VIP tables & an open-air lounge with DJ music.","Over-the-Rhine","641 Walnut St, Cincinnati, OH 45202","(513) 381-4408","http://www.therighteousroom.com/","4PM–2:30AM","4PM–2:30AM","4PM–2:30AM","4PM–2:30AM","4PM–2:30AM","4PM–2:30AM","8PM–2:30AM","EVERY DAY, Open – Close, $5 Rosé (Apothic or Bellarouche), $5 Shots of our Infused Liquor of Month, HAPPY HOUR, Monday – Saturday | 4-8pm, 1/2 Off All Drinks, MONDAY, 8pm – Close, $5 Moscow Mules, $5 Paris to Moscows","EVERY DAY, Open – Close, $5 Rosé (Apothic or Bellarouche), $5 Shots of our Infused Liquor of Month, HAPPY HOUR, Monday – Saturday | 4-8pm, 1/2 Off All Drinks, TUESDAY, 8pm – Close, $3 Local Canned Beers, $3 Shots of Jameson","EVERY DAY, Open – Close, $5 Rosé (Apothic or Bellarouche), $5 Shots of our Infused Liquor of Month, HAPPY HOUR, Monday – Saturday | 4-8pm, 1/2 Off All Drinks, WEDNESDAY, 8pm – Close, Half-price glasses of wine, Half-price bottles of wine","EVERY DAY, Open – Close, $5 Rosé (Apothic or Bellarouche), $5 Shots of our Infused Liquor of Month, HAPPY HOUR, Monday – Saturday | 4-8pm, 1/2 Off All Drinks, THURSDAY, 8pm – Close, $6 Don Julio Blanco, $7 Don Julio Reposado, $8 Don Julio Añejo, $15 Don Julio 1942","EVERY DAY, Open – Close, $5 Rosé (Apothic or Bellarouche), $5 Shots of our Infused Liquor of Month, HAPPY HOUR, Monday – Saturday | 4-8pm, 1/2 Off All Drinks","EVERY DAY, Open – Close, $5 Rosé (Apothic or Bellarouche), $5 Shots of our Infused Liquor of Month, HAPPY HOUR, Monday – Saturday | 4-8pm, 1/2 Off All Drinks","EVERY DAY, Open – Close, $5 Rosé (Apothic or Bellarouche), $5 Shots of our Infused Liquor of Month, SUNDAY, 8pm – Close, Reverse Happy Hour, Half-price drinks",,39.1035073421053,-84.5120170263158
